orth,freq,log_freq
colt,18,2.995732274
comb,6,2.079441542
combe,1,1.098612289
come,630,6.448889394
con,7,2.197224577
cone,13,2.708050201
cook,47,3.891820298
cool,62,4.158883083
coop,3,1.609437912
cop,15,2.833213344
cope,21,3.135494216
cops,17,2.944438979
cord,6,2.079441542
core,37,3.663561646
cork,9,2.397895273
corn,34,3.583518938
corp,13,2.708050201
corps,109,4.709530201
corpse,7,2.197224577
cost,229,5.442417711
couch,12,2.63905733
cough,7,2.197224577
could,1599,7.378383713
count,49,3.931825633
coup,4,1.791759469
coupe,2,1.386294361
course,465,6.146329258
court,230,5.446737372
couve,1,1.098612289
cove,2,1.386294361
cow,29,3.433987204
cox,5,1.945910149
coy,4,1.791759469
coyote,1,1.098612289
crack,21,3.135494216
crackle,2,1.386294361
craft,23,3.218875825
craig,2,1.386294361
cramp,2,1.386294361
crane,5,1.945910149
crank,1,1.098612289
crap,3,1.609437912
crash,20,3.091042453
crass,2,1.386294361
crate,2,1.386294361
crave,2,1.386294361
crawl,11,2.564949357
craze,2,1.386294361
creak,1,1.098612289
cream,20,3.091042453
crease,1,1.098612289
create,54,4.025351691
creche,1,1.098612289
creed,8,2.302585093
creek,14,2.772588722
creep,10,2.48490665
crepe,1,1.098612289
crept,11,2.564949357
crest,12,2.63905733
crew,36,3.63758616
crib,5,1.945910149
cried,30,3.465735903
crime,34,3.583518938
cripple,1,1.098612289
crisp,8,2.302585093
croak,1,1.098612289
crone,2,1.386294361
crook,3,1.609437912
crop,20,3.091042453
cross,55,4.043051268
crouch,7,2.197224577
crow,2,1.386294361
crowd,53,4.007333185
crown,19,3.044522438
crude,15,2.833213344
cruel,15,2.833213344
cruise,2,1.386294361
crumb,3,1.609437912
crumble,2,1.386294361
crump,1,1.098612289
crunch,2,1.386294361
crus,4,1.791759469
crush,4,1.791759469
crust,1,1.098612289
crutch,1,1.098612289
crux,2,1.386294361
cry,48,3.912023005
crying,15,2.833213344
crypt,1,1.098612289
cube,1,1.098612289
cud,1,1.098612289
cuff,1,1.098612289
cult,11,2.564949357
cup,45,3.850147602
cur,1,1.098612289
curb,13,2.708050201
curd,2,1.386294361
